geoid10,county,namelsad10,city,ngo_section,population,commute,pet,garden_pct,home_value_2012,x,y
48121021736,Denton County,Census Tract 217.36,Lewisville,Lewisville/Flower Mound/Highland Village,2326,24.1,32,16.88,"$133,333",-96.9879614022545,33.0005110737735
48121021516,Denton County,Census Tract 215.16,The Colony,Lewisville/Flower Mound/Highland Village,6749,30.5,60.9799995422363,34.14,"$152,253",-96.9118685475356,33.0934994521774
48439113809,Tarrant County,Census Tract 1138.09,Watauga,,4778,26.2,60.7700004577637,34.29,"$101,674",-97.2526876924843,32.8655138142164
48113001503,Dallas County,Census Tract 15.03,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,3075,35.5,21.2999992370605,10.46,"$114,583",-96.7769551975127,32.8029110199073
48113018142,Dallas County,Census Tract 181.42,Dallas,Garland/Mesquite,3341,29.8,60.7900009155273,34.3,"$131,543",-96.5428616072179,32.843060124655
48113010902,Dallas County,Census Tract 109.02,Dallas,Best Southwest/Oak Cliff/Grand Prairie,6613,28.2,33.9000015258789,19.06,"$126,882",-96.8638059244882,32.6584349971495
48113018001,Dallas County,Census Tract 180.01,Mesquite,Garland/Mesquite,6262,25.6,50.0400009155273,30.28,"$98,345",-96.6446371173505,32.8335678671458
48113006302,Dallas County,Census Tract 63.02,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4409,28.1,56.3400001525879,33.6,"$94,705",-96.8473772667014,32.7251924403771
48113005400,Dallas County,Census Tract 54,Dallas,Best Southwest/Oak Cliff/Grand Prairie,5454,27.6,39.4199981689453,25.78,"$74,926",-96.8174396209387,32.7273126693591
48439105902,Tarrant County,Census Tract 1059.02,Fort Worth,,6298,26.8,29.2600002288818,15.53,"$78,493",-97.2954130051301,32.6752019794046
48121021731,Denton County,Census Tract 217.31,Lewisville,Lewisville/Flower Mound/Highland Village,3569,24.1,60.4300003051758,36.11,"$188,212",-97.012679226858,33.0122879774022
48439113922,Tarrant County,Census Tract 1139.22,Fort Worth,,18891,30.6,61.0699996948242,34.09,"$176,780",-97.300947680118,32.9173401754187
48113019035,Dallas County,Census Tract 190.35,Dallas,Richardson/Far North Dallas/Lake Highlands,4678,25.2,37.5200004577637,20.4,"$213,352",-96.7259060476038,32.9126078766817
48113012211,Dallas County,Census Tract 122.11,Dallas,White Rock/East Dallas,3999,29.4,32.0800018310547,17.51,"$121,071",-96.6890354680371,32.8022214639832
48113016413,Dallas County,Census Tract 164.13,Grand Prairie,Best Southwest/Oak Cliff/Grand Prairie,6822,25.2,61.0900001525879,34.09,"$181,196",-97.006727854692,32.6539415464902
48113016607,Dallas County,Census Tract 166.07,Dallas,Best Southwest/Oak Cliff/Grand Prairie,3362,28.2,32.0999984741211,12.47,$0,-96.8863683796352,32.652954052048
48113009610,Dallas County,Census Tract 96.10,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,5100,,24.1100006103516,12.51,$0,-96.8856309981108,32.9027824897104
48113018203,Dallas County,Census Tract 182.03,Garland,Garland/Mesquite,6415,31.5,59.2400016784668,33.97,"$111,717",-96.606291145516,32.9022200759527
48113009804,Dallas County,Census Tract 98.04,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,7386,28.6,24.1299991607666,12.52,"$102,381",-96.8701440072057,32.8711155796635
48113000900,Dallas County,Census Tract 9,Dallas,White Rock/East Dallas,5460,32.3,28.1000003814697,16.04,"$215,741",-96.7811385901574,32.8137285387685
48113018505,Dallas County,Census Tract 185.05,Dallas,Richardson/Far North Dallas/Lake Highlands,3192,,32.0099983215332,15.8,"$133,871",-96.7138569587566,32.9067087613183
48113006100,Dallas County,Census Tract 61,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4058,28,37.4900016784668,21.43,"$130,570",-96.8485670002178,32.6985450500204
48439111005,Tarrant County,Census Tract 1110.05,Fort Worth,,9468,27.8,56.0499992370605,32.1,"$114,733",-97.3384523687853,32.6239642392669
48113007912,Dallas County,Census Tract 79.12,Dallas,White Rock/East Dallas,1927,20.9,33.7999992370605,21.37,$0,-96.7674672866249,32.8615788470892
48113000702,Dallas County,Census Tract 7.02,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,2766,22.5,33.8199996948242,21.37,"$235,714",-96.7886323577864,32.8227094958174
48113000405,Dallas County,Census Tract 4.05,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,2705,,25.4500007629395,12.16,"$137,500",-96.8205414719129,32.8134620099326
48113012204,Dallas County,Census Tract 122.04,Dallas,White Rock/East Dallas,5701,30,43.9000015258789,29.49,"$157,833",-96.7048387854933,32.8005197289032
48113007805,Dallas County,Census Tract 78.05,Dallas,Richardson/Far North Dallas/Lake Highlands,3322,,44.8800010681152,35.5,"$161,431",-96.7577756557518,32.9020125771263
48439101302,Tarrant County,Census Tract 1013.02,Fort Worth,,2846,,47.6699981689453,27.27,"$64,008",-97.2159847821667,32.7289796189607
48113000800,Dallas County,Census Tract 8,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,6201,22.5,28.9099998474121,14.47,"$130,388",-96.7854164281959,32.8078449531442
48439113627,Tarrant County,Census Tract 1136.27,Bedford,,5822,22.9,40.2900009155273,23.19,"$171,049",-97.1165456152059,32.8482995578012
48113009103,Dallas County,Census Tract 91.03,Dallas,Garland/Mesquite,3519,34.4,40.2799987792969,23.15,"$85,693",-96.7044156809223,32.7406359545002
48085031804,Collin County,Census Tract 318.04,Richardson,Richardson/Far North Dallas/Lake Highlands,4501,,37.75,24.41,"$228,322",-96.7503379561881,32.99396482268
48113006001,Dallas County,Census Tract 60.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4151,,35.8199996948242,21.18,"$81,910",-96.8357180848435,32.7073493812056
48113007913,Dallas County,Census Tract 79.13,Dallas,White Rock/East Dallas,2076,,35.0900001525879,20.75,"$103,476",-96.7671237238625,32.8483159127021
48113012601,Dallas County,Census Tract 126.01,Dallas,White Rock/East Dallas,5835,31.7,47.2799987792969,26.03,"$125,705",-96.6601708535976,32.8547598126171
48113000404,Dallas County,Census Tract 4.04,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,3411,20.8,38.4300003051758,23.51,"$114,483",-96.828300387893,32.8195840017128
48113005200,Dallas County,Census Tract 52,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4669,27.8,46.3199996948242,26.99,"$91,250",-96.8507933959203,32.7406038404995
48113009607,Dallas County,Census Tract 96.07,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,3518,22,54.5099983215332,39.36,"$198,240",-96.8640984540417,32.902608422725
48113012209,Dallas County,Census Tract 122.09,Dallas,White Rock/East Dallas,2948,23.8,40.810001373291,28.96,"$215,942",-96.7039320713756,32.812701822694
48113012400,Dallas County,Census Tract 124,Dallas,White Rock/East Dallas,5237,,55.0900001525879,36.3,"$136,445",-96.6848087840443,32.8282287297274
48113019016,Dallas County,Census Tract 190.16,Dallas,Richardson/Far North Dallas/Lake Highlands,3196,25.2,38.8300018310547,21.24,"$121,503",-96.7418764261289,32.9193535830546
48113011103,Dallas County,Census Tract 111.03,Dallas,Best Southwest/Oak Cliff/Grand Prairie,3978,26.8,41.810001373291,29.45,"$84,063",-96.8310315123238,32.6682188093195
48439111016,Tarrant County,Census Tract 1110.16,Burleson,,9663,28.8,60.9000015258789,34.2,"$146,210",-97.3353376390756,32.5633109791127
48113019018,Dallas County,Census Tract 190.18,Dallas,Richardson/Far North Dallas/Lake Highlands,5118,,41.7200012207031,22.83,"$185,175",-96.7113834627823,32.9252684985201
48121021740,Denton County,Census Tract 217.40,Lewisville,Lewisville/Flower Mound/Highland Village,4709,24.5,43.4900016784668,25.28,"$163,871",-97.0013818920876,33.0223646417975
48085031202,Collin County,Census Tract 312.02,Collin County,Rockwall/Rowlett,4427,36.3,67.2399978637695,35.19,"$157,702",-96.3933164708248,33.0008227685908
48113011101,Dallas County,Census Tract 111.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4103,30.1,43.0200004577637,34.01,"$126,182",-96.848318916969,32.6581980901253
48113011105,Dallas County,Census Tract 111.05,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4025,,34.1699981689453,19.18,"$77,487",-96.826856776324,32.652568790592
48113005100,Dallas County,Census Tract 51,Dallas,Best Southwest/Oak Cliff/Grand Prairie,2975,27.5,40.9300003051758,24.13,"$86,759",-96.8424448077458,32.7367385644226
48113007809,Dallas County,Census Tract 78.09,Dallas,Richardson/Far North Dallas/Lake Highlands,2240,25,45.1399993896484,27.82,"$232,321",-96.7400832001269,32.8599332569755
48113004700,Dallas County,Census Tract 47,Dallas,Best Southwest/Oak Cliff/Grand Prairie,3653,,24.1100006103516,12.52,"$98,230",-96.83022997944,32.7462986359174
48439113512,Tarrant County,Census Tract 1135.12,Bedford,,5655,24.2,46.7000007629395,29.39,"$140,722",-97.1218460576886,32.8310792649884
48113002500,Dallas County,Census Tract 25,Dallas,White Rock/East Dallas,5380,25,35.5800018310547,18.97,"$76,104",-96.7452469634964,32.7853518118557
48113001002,Dallas County,Census Tract 10.02,Dallas,White Rock/East Dallas,2423,,40.2599983215332,26.9,"$204,360",-96.7754603204853,32.8155628558644
48113012702,Dallas County,Census Tract 127.02,Dallas,White Rock/East Dallas,2955,30.2,56.3199996948242,33.63,"$84,448",-96.6761171661384,32.8397418383784
48113007818,Dallas County,Census Tract 78.18,Dallas,Richardson/Far North Dallas/Lake Highlands,6095,28.8,26.2199993133545,12.25,"$68,750",-96.7564984004498,32.8671544200337
48113006301,Dallas County,Census Tract 63.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,5856,26.8,47.2599983215332,30.67,"$85,411",-96.8485394172541,32.7130711291249
48113006401,Dallas County,Census Tract 64.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,2527,25.7,40.9199981689453,24.1,"$81,912",-96.8635664092307,32.7258759031404
48113011002,Dallas County,Census Tract 110.02,Dallas,Best Southwest/Oak Cliff/Grand Prairie,3219,24.3,45.2799987792969,34.44,"$127,613",-96.832135199935,32.6819457517497
48113010801,Dallas County,Census Tract 108.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,9622,28.8,34.6699981689453,20.82,"$107,757",-96.9000079335855,32.7149601836225
48439100101,Tarrant County,Census Tract 1001.01,Fort Worth,,6134,24.1,53.6699981689453,31.82,"$83,109",-97.3002591190294,32.7877211367722
48113001504,Dallas County,Census Tract 15.04,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,2471,,28.3999996185303,12.26,"$127,604",-96.7737124494469,32.8003476831571
48113011300,Dallas County,Census Tract 113,Dallas,Best Southwest/Oak Cliff/Grand Prairie,5051,,36.9900016784668,28.82,"$85,433",-96.7955552530528,32.6662768700357
